,Game,School,Year,opp_name,same_conf,outcome,pts,opp_pts,home game,height diversity,ethnic diversity,class diversity,school diversity,degree diversity,experience with opponent,experience in arena,opp_conference_size,opp_conf_wl,opp_games_played,opponent win:loss,win,Past Win Percentage,Opponent Past Win Percentage,Past Win Percentage Diff,Position Diversity,streak,win ratio,Current Win Percentage Diff
0,1,brown,2006,Northeastern,0,-14,53,67,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,1,2,12,0.642,31,0.677,False,0.429,0.677,-0.24800000000000005,0.5612244897959184,0,0.0,-0.677
1,2,brown,2006,Birmingham-Southern,0,-1,62,63,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,1,2,9,0.583,30,0.5329999999999999,False,0.429,0.5329999999999999,-0.10399999999999993,0.5612244897959184,-1,0.0,-0.5329999999999999
2,3,brown,2006,Hartford,0,10,70,60,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,1,1,9,0.583,28,0.28600000000000003,True,0.429,0.28600000000000003,0.14299999999999996,0.5612244897959184,-2,0.0,-0.28600000000000003
3,4,brown,2006,Rhode Island,0,-17,40,57,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,1,1,14,0.631,28,0.214,False,0.429,0.214,0.215,0.5612244897959184,1,0.3333333333333333,0.11933333333333332
4,5,brown,2006,Wagner,0,-13,59,72,1,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,1,12,11,0.64,30,0.433,False,0.429,0.433,-0.0040000000000000036,0.5612244897959184,-1,0.25,-0.183
5,6,brown,2006,Holy Cross,0,-23,41,64,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,1,1,8,0.6,32,0.7809999999999999,False,0.429,0.7809999999999999,-0.3519999999999999,0.5612244897959184,-2,0.2,-0.581
6,7,brown,2006,Binghamton,0,10,71,61,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,1,1,9,0.583,29,0.414,True,0.429,0.414,0.015000000000000013,0.5612244897959184,-3,0.16666666666666666,-0.24733333333333332
7,8,brown,2006,Maryland-Eastern Shore,0,-2,57,59,1,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,1,12,11,0.64,28,0.071,False,0.429,0.071,0.358,0.5612244897959184,1,0.2857142857142857,0.2147142857142857
8,9,brown,2006,Navy,0,-9,64,73,1,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,1,12,8,0.6,28,0.321,False,0.429,0.321,0.10799999999999998,0.5612244897959184,-1,0.25,-0.07100000000000001
9,10,brown,2006,Albany (NY),0,-15,47,62,1,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,1,12,9,0.583,28,0.46399999999999997,False,0.429,0.46399999999999997,-0.034999999999999976,0.5612244897959184,-2,0.2222222222222222,-0.24177777777777776
10,11,brown,2006,Army,0,2,59,57,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,1,1,8,0.6,27,0.111,True,0.429,0.111,0.318,0.5612244897959184,-3,0.2,0.08900000000000001
11,12,brown,2006,Canisius,0,-14,55,69,1,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,1,12,10,0.597,29,0.379,False,0.429,0.379,0.04999999999999999,0.5612244897959184,1,0.2727272727272727,-0.1062727272727273
12,13,brown,2006,Quinnipiac,0,4,64,60,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,1,1,11,0.64,27,0.37,True,0.429,0.37,0.059,0.5612244897959184,-1,0.25,-0.12
13,14,brown,2006,Yale,1,-14,61,75,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,1,8,0.6,27,0.40700000000000003,False,0.429,0.40700000000000003,0.021999999999999964,0.5612244897959184,1,0.3076923076923077,-0.09930769230769232
14,15,brown,2006,Yale,1,5,67,62,1,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,12,8,0.6,27,0.40700000000000003,True,0.429,0.40700000000000003,0.021999999999999964,0.5612244897959184,-1,0.2857142857142857,-0.12128571428571433
15,16,brown,2006,Dartmouth,1,3,73,70,1,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,12,8,0.6,27,0.37,True,0.429,0.37,0.059,0.5612244897959184,1,0.3333333333333333,-0.03666666666666668
16,17,brown,2006,Harvard,1,-17,58,75,1,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,12,8,0.6,27,0.444,False,0.429,0.444,-0.015000000000000013,0.5612244897959184,2,0.375,-0.069
17,18,brown,2006,Pennsylvania,1,-17,51,68,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,1,8,0.6,29,0.69,False,0.429,0.69,-0.26099999999999995,0.5612244897959184,-1,0.35294117647058826,-0.3370588235294117
18,19,brown,2006,Princeton,1,-15,37,52,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,1,8,0.6,28,0.536,False,0.429,0.536,-0.10700000000000004,0.5612244897959184,-2,0.3333333333333333,-0.20266666666666672
19,20,brown,2006,Cornell,1,-4,59,63,1,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,12,8,0.6,27,0.48100000000000004,False,0.429,0.48100000000000004,-0.052000000000000046,0.5612244897959184,-3,0.3157894736842105,-0.16521052631578953
20,21,brown,2006,Columbia,1,11,86,75,1,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,12,8,0.6,27,0.444,True,0.429,0.444,-0.015000000000000013,0.5612244897959184,-4,0.3,-0.14400000000000002
21,22,brown,2006,Harvard,1,13,79,66,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,1,8,0.6,27,0.444,True,0.429,0.444,-0.015000000000000013,0.5612244897959184,1,0.3333333333333333,-0.11066666666666669
22,23,brown,2006,Dartmouth,1,-12,46,58,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,1,8,0.6,27,0.37,False,0.429,0.37,0.059,0.5612244897959184,2,0.36363636363636365,-0.006363636363636349
23,24,brown,2006,Columbia,1,-12,56,68,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,1,8,0.6,27,0.444,False,0.429,0.444,-0.015000000000000013,0.5612244897959184,-1,0.34782608695652173,-0.09617391304347828
24,25,brown,2006,Cornell,1,5,69,64,0,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,1,8,0.6,27,0.48100000000000004,True,0.429,0.48100000000000004,-0.052000000000000046,0.5612244897959184,-2,0.3333333333333333,-0.14766666666666672
25,26,brown,2006,Princeton,1,15,61,46,1,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,12,8,0.6,28,0.536,True,0.429,0.536,-0.10700000000000004,0.5612244897959184,1,0.36,-0.17600000000000005
26,27,brown,2006,Pennsylvania,1,-6,68,74,1,0.142011834,0.650887574,0.26035503,0.426035503,0.6982248520000001,2,12,8,0.6,29,0.69,False,0.429,0.69,-0.26099999999999995,0.5612244897959184,2,0.38461538461538464,-0.3053846153846153
27,1,brown,2007,Michigan State,0,-11,34,45,0,0.132653061,0.540816327,0.602040816,0.408163265,0.551020408,1,2,11,0.64,34,0.647,False,0.37,0.647,-0.277,0.486111111111111,0,0.0,-0.647
28,2,brown,2007,Central Michigan,0,-13,58,71,0,0.132653061,0.540816327,0.602040816,0.408163265,0.551020408,1,2,12,0.642,28,0.14300000000000002,False,0.37,0.14300000000000002,0.22699999999999998,0.486111111111111,-1,0.0,-0.14300000000000002
29,3,brown,2007,Navy,0,-23,47,70,0,0.132653061,0.540816327,0.602040816,0.408163265,0.551020408,1,1,8,0.6,28,0.35700000000000004,False,0.37,0.35700000000000004,0.012999999999999956,0.486111111111111,-2,0.0,-0.35700000000000004
30,4,brown,2007,Providence,0,10,51,41,0,0.132653061,0.540816327,0.602040816,0.408163265,0.551020408,1,1,16,0.626,27,0.444,True,0.37,0.444,-0.07400000000000001,0.486111111111111,-3,0.0,-0.444
